Local,Resultado,Visitante,Link
SERCOMOSA MOLINA BASKET,SÁBADO 21/12/2024 20:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415249
SERVIGROUP BENIDORM,DOMINGO 22/12/2024 18:30,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415251
UCAM MURCIA JUVER C.B.,DOMINGO 22/12/2024 12:00,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415252
CBI ELCHE X MAXIWATT,DOMINGO 12/01/2025 18:45,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415253
RIGALLI ALGINET,DOMINGO 12/01/2025 18:00,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415254
REAL MURCIA BALONCESTO,DOMINGO 12/01/2025 12:00,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415256
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 11/01/2025 19:00,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415257
LUCENTUM ALICANTE,DOMINGO 12/01/2025 12:30,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415258
ESET ONTINET,DOMINGO 12/01/2025 19:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415259
DENIA BASQUET,SÁBADO 18/01/2025 19:30,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415260
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,SÁBADO 18/01/2025 19:00,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415261
SERCOMOSA MOLINA BASKET,SÁBADO 18/01/2025 20:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415262
ADESAVI A,DOMINGO 19/01/2025 12:00,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415263
SERVIGROUP BENIDORM,DOMINGO 19/01/2025 18:30,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415264
KLINIK · PM CAROLINAS,SÁBADO 18/01/2025 19:00,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415266
RIGALLI ALGINET,DOMINGO 26/01/2025 18:00,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415267
UCAM MURCIA JUVER C.B.,DOMINGO 26/01/2025 12:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415269
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 25/01/2025 19:00,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415270
ADESAVI A,DOMINGO 26/01/2025 12:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415271
SERCOMOSA MOLINA BASKET,SÁBADO 25/01/2025 20:00,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415272
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,SÁBADO 25/01/2025 19:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415273
CBI ELCHE X MAXIWATT,DOMINGO 02/02/2025 18:45,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415274
DENIA BASQUET,SÁBADO 01/02/2025 19:30,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415275
ESET ONTINET,DOMINGO 02/02/2025 18:30,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415276
LUCENTUM ALICANTE,DOMINGO 02/02/2025 12:30,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415277
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 01/02/2025 19:00,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415278
REAL MURCIA BALONCESTO,DOMINGO 02/02/2025 12:00,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415279
RIGALLI ALGINET,DOMINGO 09/02/2025 18:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415282
KLINIK · PM CAROLINAS,SÁBADO 08/02/2025 19:00,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415283
UCAM MURCIA JUVER C.B.,DOMINGO 09/02/2025 12:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415284
SERVIGROUP BENIDORM,DOMINGO 09/02/2025 18:30,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415285
ADESAVI A,DOMINGO 09/02/2025 12:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415286
SERCOMOSA MOLINA BASKET,SÁBADO 08/02/2025 20:00,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415287
CBI ELCHE X MAXIWATT,DOMINGO 16/02/2025 18:45,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415288
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,DOMINGO 16/02/2025 19:00,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415289
SERVIGROUP BENIDORM,DOMINGO 16/02/2025 18:30,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415290
ESET ONTINET,DOMINGO 16/02/2025 18:30,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415291
LUCENTUM ALICANTE,DOMINGO 16/02/2025 12:30,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415292
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 15/02/2025 19:00,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415293
REAL MURCIA BALONCESTO,DOMINGO 23/02/2025 12:00,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415295
RIGALLI ALGINET,DOMINGO 23/02/2025 18:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415297
KLINIK · PM CAROLINAS,SÁBADO 22/02/2025 19:00,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415298
UCAM MURCIA JUVER C.B.,SÁBADO 22/02/2025 19:30,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415299
SERVIGROUP BENIDORM,DOMINGO 23/02/2025 18:30,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415300
ADESAVI A,DOMINGO 23/02/2025 12:00,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415301
CBI ELCHE X MAXIWATT,DOMINGO 02/03/2025 18:45,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415302
SERCOMOSA MOLINA BASKET,SÁBADO 01/03/2025 20:00,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415303
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,SÁBADO 01/03/2025 19:00,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415304
DENIA BASQUET,SÁBADO 01/03/2025 19:30,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415305
ESET ONTINET,DOMINGO 02/03/2025 18:30,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415306
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 01/03/2025 19:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415308
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 08/03/2025 19:00,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415309
REAL MURCIA BALONCESTO,DOMINGO 09/03/2025 12:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415310
RIGALLI ALGINET,DOMINGO 09/03/2025 18:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415312
KLINIK · PM CAROLINAS,SÁBADO 08/03/2025 19:00,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415313
UCAM MURCIA JUVER C.B.,SÁBADO 08/03/2025 18:30,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415314
